question_id,k,subject,topic,question,gold_letter,gold_option,baseline_letter,baseline_option,rag_letter,rag_option,success_category,supporting_document_rank,notes
93645af3-21d4-4a69-bd63-b181635715f4,15,Dental,,The cause of bone destruction in juvenile periodontitis is:,B,Reduced neutrophilic chemotaxis,D,Highly virulent microorganisms,B,Reduced neutrophilic chemotaxis,direct answer found,1,Rank 1 directly states that localized juvenile periodontitis is particularly destructive and is associated with impaired neutrophil chemotaxis. This closely matches option B.
11efa366-1d2d-48a8-a247-a362a0447140,15,Dental,,"After cleaning and pumicing the tooth surface, plaque formation takes place within",B,1/2 to 1 hour,C,2 to 4 hour,B,1/2 to 1 hour,correct despite weak retrieval,,The passages explain plaque composition formation and disease but none gives a time after cleaning or pumicing. The choice of 1/2 to 1 hour is not supported by any retrieved passage.
5ca66e2e-503b-4847-a729-c8be53fa9325,15,Medicine,,Increased Monocytic count is seen in Typhoid and which of the following conditions?,B,Sub-Acute Bacterial Endocarditis,D,None of the above,B,Sub-Acute Bacterial Endocarditis,correct despite weak retrieval,,None of the 15 passages links monocytosis with subacute bacterial endocarditis. Several discuss typhoid or other mononuclear responses but they do not distinguish option B; the correction is unsupported by the retrieved evidence.
1cd85138-84f2-4c99-aede-bfd10b5ec9b9,15,Pathology,AIIMS 2018,Which of the following is true regarding blood transfusion of packed RBC?,B,Should be completed within 4 hours of receiving from blood bank,D,Should be completed within 6 hours of receiving from blood bank,B,Should be completed within 4 hours of receiving from blood bank,correct despite weak retrieval,,The passages discuss red-cell transfusion but none states the four-hour completion limit; the correction is not supported by the retrieved text.
1b9ecfa4-d168-458c-891c-e3a30b5f6e77,15,Dental,,Indirect Retainer is placed:,B,As far as possible from fulcrum line,C,Near fulcrum line,B,As far as possible from fulcrum line,correct despite weak retrieval,,All passages are unrelated to dental indirect retainers and provide no evidence about distance from the fulcrum line.
e7b8728f-9131-4f14-a004-68731f829ef6,15,Gynaecology & Obstetrics,AIIMS 2019,Continuous GnRH therapy is used in All EXCEPT.,C,Male infeility,B,Prostate cancer,C,Male infeility,context helped reject a wrong option,"1, 11, 12, 13",The passages explain that continuous GnRH suppresses the axis and support its use in precocious puberty endometriosis and hormone-sensitive cancer; infertility instead uses pulsatile GnRH.
d454ee11-50e1-475c-b73f-e1c32f66d980,15,Medicine,,Valvular lesion most often resulting from myocardial infarction is:,C,Mitral regurgitation,A,Aortic stenosis,C,Mitral regurgitation,correct despite weak retrieval,,The passages discuss myocardial infarction and valve disease separately but never explain post-infarction papillary-muscle dysfunction or identify mitral regurgitation as the resulting lesion.
46c8e8cf-5930-486f-ad11-99b9339c12ab,15,Anatomy,,Reticular fibers of collagen tissues are present in all of the following except:,A,Thymus,C,Bone marrow,A,Thymus,direct answer found,2,Rank 2 explicitly states that reticular fibers support hematopoietic and lymphatic tissues but not the thymus.
e16742f8-aa56-4a27-9d8d-b7643e5f27c5,15,Pediatrics,,Hypoxic Ischemic encephalopathy true is –,C,Seizure,A,Lower limbs affected more than upper limbs,C,Seizure,direct answer found,"1, 4",The first passage directly links hypoxic-ischemic encephalopathy with seizures and rank 4 states that affected newborns develop refractory seizures.
ab0bf88b-ad5b-482b-b45a-61ac9a5b3d58,15,Surgery,,The maxillary sinus drains into the,A,Middle meatus,D,Sphenoethmoidal recess,A,Middle meatus,direct answer found,"4, 11",Rank 4 places the maxillary-sinus opening in the semilunar hiatus of the middle meatus and rank 11 explicitly says that the middle meatus drains the maxillary sinus.
a40481b2-dbe1-4b5b-aa7f-20b3d47d8779,15,Pharmacology,,What causes malignant hyperpyrexia?,D,Suxamethonium,A,Thiopentone,D,Suxamethonium,useful supporting evidence,"4, 13",The passages identify anesthetic agents and skeletal-muscle relaxants as triggers but do not name suxamethonium; among the listed choices it is the muscle relaxant.
edb0ef61-a009-4fe9-811e-5b9d6ea40435,15,Dental,,Chances of ankyloses of mandibular molar which is autotransplanted depends on?,B,Surgical extraction of molar,C,Socket preparation of molar for autotransplantation,B,Surgical extraction of molar,correct despite weak retrieval,,None of the passages discusses tooth autotransplantation or how extraction trauma affects periodontal-ligament injury and ankylosis.
2e4dea82-5bec-438e-a674-0f317e467e70,15,Dental,,Gold Standard for evaluation of any obstruction in the nasal pathway:,C,Rhinomanometry.,A,Mirror test.,C,Rhinomanometry.,correct despite weak retrieval,,The passages cover causes and evaluation of nasal obstruction but never mention rhinomanometry or compare it with the other tests.
59110b4f-4074-4293-aa6d-96b1a6b49b82,15,Pharmacology,,Which of the following injection is available for subcutaneous administration?,B,Terbutaline,A,Albuterol,B,Terbutaline,direct answer found,6,Rank 6 explicitly states that only terbutaline among these agents is available for subcutaneous injection.
46d8350b-3f1d-4199-9c82-aaff47498fdd,15,Anatomy,,Lymph from lower lip-middle part drains directly into:,B,Submental nodes,C,Sublingual nodes,B,Submental nodes,direct answer found,"2, 15",Both passages explicitly state that the medial or central lower lip drains to the submental nodes.
515dde1e-02e3-41d5-a88f-3d2a99421bde,15,Dental,,The enamel has no capacity of self —repair because,B,Its formative cells are lost once it is completely formed,C,It is essentially a keratin tissue and has no blood vessels,B,Its formative cells are lost once it is completely formed,direct answer found,"2, 14",Rank 2 says mature enamel is acellular and cannot be replaced; rank 14 supplies the reason by stating that ameloblasts degenerate after enamel formation.
7c6fe266-845b-4f4b-8ddb-ca5d016e0396,15,Social & Preventive Medicine,,Key indicator for AFP surveillance ?.,D,At least one case of non-polio AFP per year per 100000 population of under 15 years,A,At least one case of non-polio AFP per year per 1000 population of under 5 years,D,At least one case of non-polio AFP per year per 100000 population of under 15 years,correct despite weak retrieval,,The retriever misread AFP as alpha-fetoprotein or atomic-force microscopy; none of the passages concerns acute flaccid-paralysis surveillance or its population threshold.
20f29076-98f9-479b-a77b-96fae28d5689,15,Surgery,,"A 48 years old female presents with seizure, recurrent gross hematuria and left flank abdominal pain. Abdominal CT reveals left perinephric hematoma with 3 cm angiomyolipoma along with multiple right renal angiomyolipoma measuring 1.5 to 6.5 cm. What would be the most probable diagnosis?",C,Tuberous sclerosis,A,VHL syndrome,C,Tuberous sclerosis,direct answer found,"2, 5",Rank 2 directly states that tuberous sclerosis commonly causes multiple bilateral renal angiomyolipomas that may bleed; rank 5 also links the disease to seizures and renal angiomyolipomas.
84fe7359-1ad3-4031-bf62-e4474bb33a86,15,Pediatrics,,All are signs of impending Eisenmenger except –,A,Increased flow murmur across tricuspid & pulmonary valve,D,Graham steel murmur,A,Increased flow murmur across tricuspid & pulmonary valve,correct despite weak retrieval,,Only two passages discuss Eisenmenger syndrome and neither gives the auscultatory signs or explains why an increased flow murmur is the exception.
9ac4d9c7-db9d-4521-83bc-f6f58f6d5db7,15,Surgery,,"In post splenectomy patient, chances of Infection with which of these Increases:",A,Encapsulated bacteria,B,Non capsulated bacteria,A,Encapsulated bacteria,direct answer found,"2, 6, 8",Several passages explicitly state that splenectomy increases susceptibility to encapsulated bacteria and name typical organisms.
6ba7a8b3-b653-4208-8815-75c03f1088b4,15,Pathology,,In biopsy true about formalin as fixative is all except,D,2% forrnaline is used,C,To kill micro organisms,D,2% forrnaline is used,context helped reject a wrong option,"2, 3",Rank 3 confirms that fixation prevents autolysis kills microorganisms and hardens tissue; rank 2 describes formalin as 37% stock used at dilutions but does not support 2% as the routine concentration.
53d58d7a-d546-4b1a-88a7-fa7348ff08a5,15,Dental,,All are secondary colonizers except,A,S. sanguis,C,Fusobacteria,A,S. sanguis,correct despite weak retrieval,,The word colonizers was misread as colon; all 15 passages concern the large intestine and none discusses early or secondary dental-plaque bacteria.
2dd66c3e-9b8c-421e-818b-5770ed270bfe,15,Dental,,Dental plaque adheres to the tooth because:,B,Dextrans are insoluble and sticky,D,Microorganisms produce sticky lipoproteins,B,Dextrans are insoluble and sticky,correct despite weak retrieval,,The passages establish that dental plaque is a sticky bacterial biofilm on teeth but none identifies insoluble dextran as the material responsible for adhesion.
770a2934-5df3-4d53-a79c-0d4358b95016,15,Gynaecology & Obstetrics,,"In a female, intraocular metastasis most commonly occurs from which of the following gynaecological primary?",A,Breast,B,Ovary,A,Breast,useful supporting evidence,12,Rank 12 says breast carcinoma is a frequent source of orbital metastasis; it strongly favors breast among the options although it discusses the orbit rather than intraocular metastasis specifically.
41c672e1-f83d-487a-a284-399e766a33a9,15,Dental,,The type of bone present in the inter-radicular area is,B,Cancellous,A,Cortical,B,Cancellous,correct despite weak retrieval,,The passages explain cortical versus cancellous bone generally but never identify the inter-radicular dental region or state which type occurs there.
5115d601-c567-4a71-a53a-e4a7facd703b,15,Dental,,The diameter of the tip of a periodontal probe is:,C,0.5 mm,A,0.25 mm,C,0.5 mm,correct despite weak retrieval,,None of the 15 passages describes a periodontal probe or gives its tip diameter; the retrieved numbers concern unrelated dental anatomy.
344d849d-fe32-41d8-853f-b02b41028d71,15,Skin,,"A 35 years old male comes with complain of baldness. On examination, well-defined bald patches were seen with no scarring. Small broken hairs were seen in the surrounding area. What is the likely diagnosis?",B,Alopecia areata,A,Androgenetic alopecia,B,Alopecia areata,direct answer found,"6, 13",Rank 13 explicitly describes alopecia areata as sharply demarcated circular nonscarring hair loss and rank 6 lists well-circumscribed circular patches as its clinical pattern.
46669fd0-e19c-4e9c-bdc4-836d0d9771f4,15,Dental,,True about bisphosphonate mechanism of action,A,Inhibit osteoclast mediated resorption,D,All of above,A,Inhibit osteoclast mediated resorption,direct answer found,"1, 2, 10",The passages directly state that bisphosphonates inhibit osteoclast function and bone resorption and do not increase osteoid formation or mineralization. The raw RAG output was malformed as A B C; scoring accepted its first letter A.
f7d9f997-d9d6-40e0-a921-49bb343f8b52,15,Surgery,,"For >10 mm setback of mandible, which of these surgeries is most suitable:",B,Vertical ramus osteotomy,A,Sagittal split ramus osteotomy,B,Vertical ramus osteotomy,correct despite weak retrieval,,None of the passages compares orthognathic osteotomies or states which operation is appropriate for a mandibular setback greater than 10 mm.
e0952660-983f-4990-a8c6-d6b6bc19aca3,15,Dental,,Which of the following groups of fibres are not attached to alveolar bone?,A,Transseptal,D,Apical,A,Transseptal,correct despite weak retrieval,,The passages describe periodontal attachment and Sharpey fibers generally but never discuss transseptal horizontal oblique or apical fiber groups.
5986807f-c9d7-43ca-951a-2c4be8c0d62e,15,Anatomy,,All of the following muscles have parallel oriented fibers except:,D,Tibialis anterior,A,Saorius,D,Tibialis anterior,correct despite weak retrieval,,The passages describe muscle fibers generally and mention sartorius length but never compare the fascicle arrangement of the four named muscles or identify tibialis anterior as multipennate.
3f41f911-cf5c-4227-b32b-7efd0b2fc191,15,Dental,,Midazolam cannot be given by which of the following routes:,B,Inhalation,A,Oral,B,Inhalation,context helped reject a wrong option,"1, 2, 3",The passages explicitly document intravenous oral and intramuscular midazolam. None supports inhalation so the evidence allows that option to be selected by exclusion.
ea10b02c-4402-4a16-9bec-03cc31e8587d,15,Pharmacology,,The organ most resistant to GA is,B,Medulla oblonagata,A,Spinal Cord,B,Medulla oblonagata,correct despite weak retrieval,,The retriever interpreted GA as several unrelated abbreviations such as glutaric aciduria gadolinium and glatiramer acetate; no passage discusses resistance to general anesthesia.
8d6cd2e6-9912-4bb5-b276-289f11e6371f,15,Dental,,The KRI paste is composed of:,A,"Iodoform, camphor, parachlorophenol and menthol",D,Calcium hydroxide and iodoform,A,"Iodoform, camphor, parachlorophenol and menthol",correct despite weak retrieval,,The retriever matched KRI to vitamin K potassium channels and unrelated uses of paste; none of the passages discusses KRI endodontic paste or its ingredients.
2c37d934-7b5e-4e0d-9b34-55ae75466301,15,Surgery,,Which of the following structure is not removed in radical neck dissection-,C,Tail of parotid,A,Spinal accessory nerve,C,Tail of parotid,context helped reject a wrong option,"1, 11",Rank 11 places the submandibular gland and level IIb nodes within neck-dissection levels while rank 1 contrasts modified dissection by preserving the accessory nerve. Tail of parotid is the unsupported choice.
77f42ec8-d712-43b7-8160-dd99cad04643,15,Dental,,A 10 years old child has intrusion of permanent maxillary central incisor. The choice of treatment is,B,Allow tooth to erupt on its own (spontaneous eruption),A,Put tooth in its place and splint it,B,Allow tooth to erupt on its own (spontaneous eruption),correct despite weak retrieval,,The passages discuss normal tooth-eruption ages and general dental development but none addresses traumatic intrusion or recommends spontaneous re-eruption.
7d6455c7-5b76-4e75-84e6-0e37f920fa5a,15,Medicine,,"A 22 year old female in emergency presents with sore throat from 3 days, headache and vomiting, blood pressure 90/50, tiny red spots distal to sphygomomanometer cuff",B,Neisseria Meningitidis,D,Salmonella species,B,Neisseria Meningitidis,correct despite weak retrieval,,The passages mention sore throat headache vomiting or petechiae in unrelated illnesses but none discusses meningococcal sepsis or identifies Neisseria meningitidis.
f186d21a-67e0-4532-bb17-a3b4ac7ccbd2,15,Dental,,Cobalt-Chromium alloys contains:,B,60% cobalt and 30% chromium,A,30% cobalt and 60% chromium,B,60% cobalt and 30% chromium,correct despite weak retrieval,,The passages discuss cobalt and chromium toxicity or cobalt-chromium implants but none gives the dental alloy's percentage composition.
a78209a5-9800-45d5-9cab-4838388d53e7,15,Dental,,Resistance to corrosion in a cobalt-chrome casting is due to presence of:,B,Chrome,C,Cobalt,B,Chrome,correct despite weak retrieval,,The retrieved text mentions cobalt-chromium materials and metal toxicity but never explains that chromium forms the protective oxide layer responsible for corrosion resistance.
a31714d8-1531-4865-8d0d-f2430b8d68c1,15,Microbiology,,Toxic shock syndrome is due to the following virulence factor:,B,Pyrogenic exotoxin,A,M protein,B,Pyrogenic exotoxin,direct answer found,"5, 6, 13",The passages identify toxic shock as a superantigen-mediated exotoxin disease; rank 6 specifically includes streptococcal pyogenic exotoxins among the toxic-shock superantigens.
4cbe210a-0779-4ba7-b599-e9b89fa5a0b1,15,Microbiology,,A 5-year-old child from a rural area presented to the OPD with pustular lesions on the lower legs. The cuture from the lesion showed hemolytic colonies on the blood agar which were Gram-positive cocci. Which of the following reactions would help to provisionally confirm the diagnosis of group A streptococcal pyoderma?,B,Bacitracin sensitivity,A,Optochin sensitivity,B,Bacitracin sensitivity,correct despite weak retrieval,,The passages support group A streptococcal skin infection and beta hemolysis but none states that S. pyogenes is provisionally identified by bacitracin sensitivity.
8e5ce21c-74ea-4b0d-b929-c03ee9d54765,15,Anatomy,AIIMS 2019,Which of the following are true regarding levator ani EXCEPT?,A,Levator ani muscle is attached at pelvic brim,D,Suppos pelvic viscera,A,Levator ani muscle is attached at pelvic brim,context helped reject a wrong option,"1, 2, 5, 8",The passages confirm its components medial course and support of pelvic viscera while locating its origin at the pubis and obturator fascia rather than the pelvic brim.
e9f104f9-2231-4a49-b5a6-983ca6e08c49,15,Dental,,A pier abutment is:,B,With an edentulous space on mesial and distal sides of the abutment,C,Edentulous space on one side of the abutment,B,With an edentulous space on mesial and distal sides of the abutment,correct despite weak retrieval,,All passages concern wrist and hand anatomy because the retriever matched words such as pier or abutment poorly; none discusses fixed dental prostheses.
fb8c4e20-6d34-461e-8e14-45fcd8c662e4,15,Pharmacology,AIIMS 2017,Treatment of choice for a patient with gonococcal as well as non-gonococcal urethritis is:,D,Azithromycin 2 g oral single dose,A,Ceftriaxone 250 mg IM single dose,D,Azithromycin 2 g oral single dose,ambiguous question / questionable gold label,"2, 3, 10",The passages recommend a cephalosporin plus azithromycin for possible gonococcal and chlamydial coinfection. They do not support azithromycin 2 g alone as the standard combined treatment; rank 10 pairs that dose with gentamicin.
590217c3-2f56-4547-a6e3-e3d3409bc6e2,15,Medicine,,Cold agglutinin is,B,IgM,A,IgG,B,IgM,direct answer found,"1, 5",Rank 1 explicitly states that the cold-agglutinin antibody is usually IgM and rank 5 explains IgM binding and agglutination at low temperatures.
db180b6d-8b4e-487e-a47d-7c554c8dad2e,15,Dental,,Which of the following show chemical bond with enamel (calcified tissues)?,C,Polycarboxylate cements,D,BIS-GMA resins in pit and fissure sealants,C,Polycarboxylate cements,correct despite weak retrieval,,All passages describe enamel composition and development; none mentions polycarboxylate cement or compares chemical with mechanical bonding of dental materials.
114fa1dd-9f36-4b84-9f6a-68303bc63931,15,Gynaecology & Obstetrics,,Earliest diagnosis of pregnancy can be established safely by:,A,USG for fetal cardiac activity,C,hCG levels,A,USG for fetal cardiac activity,ambiguous question / questionable gold label,1,Rank 1 says pregnancy is usually confirmed by urine or blood hCG and only then discusses sonography. The gold answer makes sense for confirming a viable intrauterine pregnancy but the question merely says pregnancy.
f1f7b5b5-1446-4c3b-b863-6f933689cb95,15,Gynaecology & Obstetrics,,Which of the following increases callus formation:,B,Movement at fracture site,A,Rigid immobilization,B,Movement at fracture site,correct despite weak retrieval,,The passages explain callus healing but do not state that micromovement increases callus formation; rank 2 instead warns that inadequate immobilization can prevent normal callus maturation.
21af7233-ae6a-423c-ae71-9148212a37c3,15,Physiology,,Calcium ions triggers muscle contraction by binding to:,C,Troponin,A,Actin,C,Troponin,direct answer found,5,Rank 5 explicitly states that calcium initiates skeletal-muscle contraction by binding the TnC portion of the troponin complex.
e536d0d8-52e5-4881-b33e-23907a9a3034,15,Radiology,,The usual radiographic appearance of an osteosarcoma is:,C,Sunburst pattern with radiopaque strands extending from the cortical plates,A,Discrete radiolucency with regular borders,C,Sunburst pattern with radiopaque strands extending from the cortical plates,direct answer found,"1, 5, 15",Multiple passages explicitly describe the typical spiculated periosteal new-bone or sunburst appearance of osteosarcoma.
2617e9f9-7ba9-4f7c-b182-f7dbff771148,15,Anatomy,,Lymph from tongue not drained by following vessels,B,Ventral,C,Posterior,B,Ventral,correct despite weak retrieval,,The passages describe drainage from the tongue's oral pharyngeal and tip regions but do not name the central marginal posterior vessel groups or state that a ventral group does not exist.
f1b944e7-35c7-4ae3-aea7-3cd1d32e5249,15,Biochemistry,AIIMS 2018,Which of the following type of collagen is present in healing and granulation tissue?,C,Type III,A,Type I,C,Type III,direct answer found,"1, 9",Both passages explicitly state that type III collagen is deposited in and present in granulation tissue during early repair.
da27e783-4c0b-4621-bc3d-938a109d8425,15,Pharmacology,AIIMS 2018,Use of lithium during pregnancy increases the risk of development of which of the following malformations in the baby?,B,Cardiac defects,D,Urogenital defects,B,Cardiac defects,direct answer found,"3, 4, 14",The passages directly link prenatal lithium exposure to cardiac malformations and specifically to Ebstein anomaly of the tricuspid valve.
fffb00bf-d5e6-4975-9299-12beacacb8ad,15,Pediatrics,,"To establish the diagnosis of H-type trachea-esophageal fistula, which if the following is required?",B,Tracheo-bronchoscopy,D,Esophagoscopy,B,Tracheo-bronchoscopy,direct answer found,"2, 15",Rank 2 says H-type fistula is confirmed by endoscopic visualization and rank 15 specifically says a tracheoesophageal fistula is confirmed with bronchoscopy.
2066f9f0-3eb8-4f40-8ca3-39406b885674,15,Surgery,,Lateral pharyngeal space is not connected directly by:,A,Buccal space,D,Retropharyngeal space,A,Buccal space,context helped reject a wrong option,"4, 9",Rank 9 explicitly shows posterior extension between the pharyngeal and retropharyngeal spaces and rank 4 links lateral-pharyngeal infection to oral and periodontal sources. Buccal space is not supported as a direct connection.
f23d2f9b-0dd0-49b4-88de-b7b8570ee171,15,Pathology,,Which of the following is associated with defective apoptosis and increased cell survival,B,Auto immune disorders,A,Neuro degenerative diseases,B,Auto immune disorders,direct answer found,"1, 7, 13",The passages explain that failed Fas-mediated lymphocyte apoptosis causes excess lymphocyte survival and autoimmune disease while infarction stroke and degeneration involve excessive cell death.
b9430ce6-2167-41f1-86a6-5d8c3e143d86,15,Pathology,,Scaphocephaly is caused by premature fusion of:,B,Sagittal suture,C,Metopic suture,B,Sagittal suture,direct answer found,"1, 2",Both passages explicitly state that premature fusion of the sagittal suture produces the long narrow or boat-shaped skull called scaphocephaly.
f6bb3faa-6ccb-4838-a2d9-1ae2f2d63e7d,15,Skin,,Which type of oral candidiasis does not presents with white patch?,A,Chronic atrophic candidiasis,D,Pseudomembranous candidiasis,A,Chronic atrophic candidiasis,useful supporting evidence,3,Rank 3 distinguishes an erythematous form with flat red areas from pseudomembranous thrush and candidal leukoplakia with white lesions; it supports atrophic candidiasis indirectly through its red appearance.
a67293d8-42a6-4fe5-a2ac-ee22bc9ebaf9,15,Dental,,Acid dissolution is most common in which part of rod,B,Head region,C,Rod tails,B,Head region,correct despite weak retrieval,,Rank 1 describes the head and tail orientation of enamel rods but none of the passages states which part is preferentially dissolved by acid.
eaae5960-af00-46cd-8bf6-2b238919fb76,15,Gynaecology & Obstetrics,,"26 years old female suffers from PPH on her second postnatal day. Her APTT and PTT are prolonged while BT, PT and platelet counts are normal. Likely diagnosis is:",A,Acquired hemophilia,B,Lupus anticoagulant,A,Acquired hemophilia,multiple passages combined,"1, 2, 9, 10",The passages jointly support delayed postpartum bleeding with factor VIII-related disease and an isolated prolonged aPTT; they also argue against DIC because PT and platelets would be abnormal and against lupus anticoagulant because it usually causes thrombosis rather than bleeding.
