question_id,k,subject,topic,question,gold_letter,gold_option,baseline_letter,baseline_option,rag_letter,rag_option,success_category,supporting_document_rank,notes
46d8350b-3f1d-4199-9c82-aaff47498fdd,15,Anatomy,,Lymph from lower lip-middle part drains directly into:,B,Submental nodes,C,Sublingual nodes,B,Submental nodes,direct answer found,1,"Rank 1 explicitly states that the medial part of the lower lip drains bilaterally to the submental nodes."
a0c6e73e-5ed5-42b5-a71c-24e031f7e7e8,15,Dental,,Soft tissue curettage is used for:,A,Shallow pockets with gingivitis,B,Deep pockets with gingivitis,A,Shallow pockets with gingivitis,correct despite weak retrieval,,"The passages describe gingivitis and shallow gingival sulci but do not state the indications for soft-tissue curettage."
dc918205-fb3a-42a9-805e-ec2c3e1c7352,15,Surgery,,"A 49 years old male with 35 pack years presented with painless mass in left scrotal sac and microscopic hematuria. On laboratory investigation, Alphafetoprotein and lactate dehydrogenase was negative. What is the most probable diagnosis?",C,Renal cell carcinoma,B,Seminoma,C,Renal cell carcinoma,direct answer found,13,"Rank 13 links renal cell carcinoma to hematuria and a left-sided varicocele caused by renal-vein involvement, accounting for the scrotal mass."
515dde1e-02e3-41d5-a88f-3d2a99421bde,15,Dental,,The enamel has no capacity of self —repair because,B,Its formative cells are lost once it is completely formed,C,It is essentially a keratin tissue and has no blood vessels,B,Its formative cells are lost once it is completely formed,useful supporting evidence,"1;3","Rank 1 states that formed enamel is acellular and cannot be replaced, while rank 3 identifies ameloblasts as the enamel-producing cells."
84fe7359-1ad3-4031-bf62-e4474bb33a86,15,Pediatrics,,All are signs of impending Eisenmenger except –,A,Increased flow murmur across tricuspid & pulmonary valve,D,Graham steel murmur,A,Increased flow murmur across tricuspid & pulmonary valve,context helped reject a wrong option,"1;3","The passages identify a Graham Steell murmur and a loud single S2 as signs of severe pulmonary hypertension, leaving increased flow murmurs as the exception."
9ac4d9c7-db9d-4521-83bc-f6f58f6d5db7,15,Surgery,,"In post splenectomy patient, chances of Infection with which of these Increases:",A,Encapsulated bacteria,B,Non capsulated bacteria,A,Encapsulated bacteria,direct answer found,10,"Rank 10 explicitly states that encapsulated bacteria cause most infections in asplenic patients."
8ecb4d6b-8ab1-40d7-af48-fa8fe50bd21f,15,Pharmacology,,Centrineuraxial (spinaland epidural) anaesthesia is not contraindicated in,B,Patient on aspirin,D,Raised intracranial pressure,B,Patient on aspirin,direct answer found,4,"Rank 4 states that aspirin does not add significant spinal-bleeding risk during spinal or epidural anesthesia."
6ba7a8b3-b653-4208-8815-75c03f1088b4,15,Pathology,,In biopsy true about formalin as fixative is all except,D,2% forrnaline is used,C,To kill micro organisms,D,2% forrnaline is used,context helped reject a wrong option,"2;3","Rank 3 confirms that fixation prevents autolysis, kills microorganisms, and hardens tissue; rank 2 describes formalin as 37% formaldehyde used at suitable dilutions, not 2% formalin."
18d5c4a1-cb81-41a8-9bfc-b6f7dec431d2,15,Medicine,AIIMS 2017,Diagnosis of the following ECG-,B,Electrical alternans,A,Ventricular bigeminy,B,Electrical alternans,useful supporting evidence,1,"Rank 1 defines electrical alternans as beat-to-beat variation in ECG components, matching the alternating complexes described for the displayed tracing."
bdc7d080-b3a4-4edb-acc4-08a35d181e75,15,Dental,,Pickling is done:,A,To remove oxide film from casting,D,Avoid casting defects,A,To remove oxide film from casting,correct despite weak retrieval,,"None of the retrieved passages discusses dental casting pickling or removal of an oxide film."
97bd8c32-3ea6-41e1-856e-b9a91d20e643,15,Medicine,,Infective endocarditis is most commonly seen in:,B,VSD,A,ASD,B,VSD,useful supporting evidence,"3;10","Ranks 3 and 10 explain that VSD jet lesions damage endocardium and create a nidus with long-term infective-endocarditis risk."
770a2934-5df3-4d53-a79c-0d4358b95016,15,Gynaecology & Obstetrics,,"In a female, intraocular metastasis most commonly occurs from which of the following gynaecological primary?",A,Breast,B,Ovary,A,Breast,correct despite weak retrieval,,"The passages discuss breast cancer metastasizing to ovaries and other systemic sites but do not identify breast as the most common source of intraocular metastasis."
41c672e1-f83d-487a-a284-399e766a33a9,15,Dental,,The type of bone present in the inter-radicular area is,B,Cancellous,A,Cortical,B,Cancellous,useful supporting evidence,1,"Rank 1 distinguishes dense cortical bone on the exterior from cancellous bone in the interior, supporting cancellous bone between the roots without naming the inter-radicular area."
d18484d7-55a9-4be3-9ba6-59cdd44d1bdf,15,Dental,,Phallic stage of Freud corresponds to which of the following stages of Piaget,B,Pre operational,A,Sensorimotor,B,Pre operational,correct despite weak retrieval,,"The retrieved passages do not provide the ages or correspondence between Freud's phallic stage and Piaget's preoperational stage."
8729556c-a513-42d6-abc1-ed7f6c9ca397,15,Psychiatry,,"A man comes with history of abnormal excessive blinking and grunting. He says he has no control over his symptoms, which have risen in frequency of late. This has staed affecting his social life making him depressed. Which of the following medications should be used in him?",A,Risperidone,B,Imipramine,A,Risperidone,direct answer found,2,"Rank 2 specifically identifies risperidone as useful for problematic tic disorders."
5115d601-c567-4a71-a53a-e4a7facd703b,15,Dental,,The diameter of the tip of a periodontal probe is:,C,0.5 mm,A,0.25 mm,C,0.5 mm,correct despite weak retrieval,,"The retrieved material concerns laparoscopic instrument diameters and contains no periodontal-probe dimensions."
1bcc4893-9641-4f95-95c7-8c81492eb9a9,15,Dental,,Which material undergoes hysteresis?,B,Reversible hydrocolloid,A,Irreversible hydrocolloid,B,Reversible hydrocolloid,correct despite weak retrieval,,"None of the retrieved passages discusses impression-material hysteresis or reversible hydrocolloid."
46669fd0-e19c-4e9c-bdc4-836d0d9771f4,15,Dental,,True about bisphosphonate mechanism of action,A,Inhibit osteoclast mediated resorption,D,All of above,A,Inhibit osteoclast mediated resorption,direct answer found,3,"Rank 3 explicitly states that bisphosphonates inhibit osteoclast-mediated skeletal resorption without ordinarily causing mineralization defects."
f7d9f997-d9d6-40e0-a921-49bb343f8b52,15,Surgery,,"For >10 mm setback of mandible, which of these surgeries is most suitable:",B,Vertical ramus osteotomy,A,Sagittal split ramus osteotomy,B,Vertical ramus osteotomy,correct despite weak retrieval,,"The passages mention the mandibular ramus only in unrelated surgical and anatomical contexts and do not compare orthognathic setback procedures."
c5bc52bf-c316-48d2-9c03-ed4ac17338ab,15,Gynaecology & Obstetrics,,Drug not given in PCOD in a 30-year-old lady with infeility?,B,Tamoxifen,C,OCPs,B,Tamoxifen,context helped reject a wrong option,"2;4;12","The passages explicitly support clomiphene, metformin, and OCPs in PCOS management, while tamoxifen is discussed for breast cancer rather than PCOS."
e0952660-983f-4990-a8c6-d6b6bc19aca3,15,Dental,,Which of the following groups of fibres are not attached to alveolar bone?,A,Transseptal,D,Apical,A,Transseptal,correct despite weak retrieval,,"The passages describe periodontal-ligament attachment to alveolar bone but do not distinguish transseptal from horizontal, oblique, or apical fiber groups."
7879facb-4a0b-424e-9997-25aae47a52aa,15,Orthopaedics,AIIMS 2019,What to be done next?,B,Bone biopsy,C,Curettage,B,Bone biopsy,useful supporting evidence,2,"Rank 2 says bone biopsy should follow suspicious bone imaging, but its immediate context is osteomyelitis rather than the image-indicated giant-cell tumor."
5986807f-c9d7-43ca-951a-2c4be8c0d62e,15,Anatomy,,All of the following muscles have parallel oriented fibers except:,D,Tibialis anterior,A,Saorius,D,Tibialis anterior,correct despite weak retrieval,,"The passages discuss fiber directions in abdominal muscles but do not describe tibialis anterior as multipennate or compare the listed muscles."
3f41f911-cf5c-4227-b32b-7efd0b2fc191,15,Dental,,Midazolam cannot be given by which of the following routes:,B,Inhalation,A,Oral,B,Inhalation,context helped reject a wrong option,"1;2;4","The passages explicitly document intravenous, intramuscular, and oral midazolam administration, leaving inhalation as the unsupported route."
8d6cd2e6-9912-4bb5-b276-289f11e6371f,15,Dental,,The KRI paste is composed of:,A,"Iodoform, camphor, parachlorophenol and menthol",D,Calcium hydroxide and iodoform,A,"Iodoform, camphor, parachlorophenol and menthol",correct despite weak retrieval,,"None of the retrieved passages describes KRI paste or its dental formulation."
2c37d934-7b5e-4e0d-9b34-55ae75466301,15,Surgery,,Which of the following structure is not removed in radical neck dissection-,C,Tail of parotid,A,Spinal accessory nerve,C,Tail of parotid,context helped reject a wrong option,"1;5","The neck-dissection passages support removal of the spinal accessory nerve, submandibular structures, and level II nodes in the classic operation; they do not include the parotid tail."
3bb33f16-ca92-481f-bb39-b5278156c63d,15,Pathology,,"Patient with increased PT, APTT & TT and normal fibrinogen and platelet counts, diagnosis is?",D,Vitamin K deficiency,C,Liver disease,D,Vitamin K deficiency,ambiguous question / questionable gold label,4,"Rank 4 says prolonged TT with normal fibrinogen suggests dysfibrinogenemia and also describes prolonged PT, aPTT, and TT in liver disease; vitamin K deficiency usually prolongs PT first, so the gold label is questionable."
77f42ec8-d712-43b7-8160-dd99cad04643,15,Dental,,A 10 years old child has intrusion of permanent maxillary central incisor. The choice of treatment is,B,Allow tooth to erupt on its own (spontaneous eruption),A,Put tooth in its place and splint it,B,Allow tooth to erupt on its own (spontaneous eruption),correct despite weak retrieval,,"The passages give normal eruption ages and general tooth development but no management guidance for traumatic intrusion of a permanent incisor."
7d6455c7-5b76-4e75-84e6-0e37f920fa5a,15,Medicine,,"A 22 year old female in emergency presents with sore throat from 3 days, headache and vomiting, blood pressure 90/50, tiny red spots distal to sphygomomanometer cuff",B,Neisseria Meningitidis,D,Salmonella species,B,Neisseria Meningitidis,direct answer found,5,"Rank 5 identifies Neisseria meningitidis as the most common bacterial-meningitis pathogen in adolescents and young adults and describes headache and systemic infection."
f186d21a-67e0-4532-bb17-a3b4ac7ccbd2,15,Dental,,Cobalt-Chromium alloys contains:,B,60% cobalt and 30% chromium,A,30% cobalt and 60% chromium,B,60% cobalt and 30% chromium,correct despite weak retrieval,,"The passages mention cobalt-chromium alloys and metal toxicity but give no alloy composition percentages."
a78209a5-9800-45d5-9cab-4838388d53e7,15,Dental,,Resistance to corrosion in a cobalt-chrome casting is due to presence of:,B,Chrome,C,Cobalt,B,Chrome,correct despite weak retrieval,,"The passages mention cobalt-chromium materials but do not explain chromium's passive oxide layer or corrosion resistance."
a31714d8-1531-4865-8d0d-f2430b8d68c1,15,Microbiology,,Toxic shock syndrome is due to the following virulence factor:,B,Pyrogenic exotoxin,A,M protein,B,Pyrogenic exotoxin,direct answer found,6,"Rank 6 explicitly links pyrogenic exotoxin A and other streptococcal exotoxins to streptococcal toxic shock syndrome."
97ef7cca-90c3-4c3c-bc58-28d2d5e1bc0b,15,Medicine,,The organism which is involved in anaerobic infections of head and neck region is,D,Bacteroids,C,Streptococci,D,Bacteroids,direct answer found,1,"Rank 1 identifies the Bacteroides oralis group among the predominant anaerobic isolates in mouth, head, and neck infections."
4cbe210a-0779-4ba7-b599-e9b89fa5a0b1,15,Microbiology,,A 5-year-old child from a rural area presented to the OPD with pustular lesions on the lower legs. The cuture from the lesion showed hemolytic colonies on the blood agar which were Gram-positive cocci. Which of the following reactions would help to provisionally confirm the diagnosis of group A streptococcal pyoderma?,B,Bacitracin sensitivity,A,Optochin sensitivity,B,Bacitracin sensitivity,correct despite weak retrieval,,"The passages support group A streptococci as a cause of childhood pyoderma but do not state bacitracin sensitivity or distinguish it from optochin testing."
8e5ce21c-74ea-4b0d-b929-c03ee9d54765,15,Anatomy,AIIMS 2019,Which of the following are true regarding levator ani EXCEPT?,A,Levator ani muscle is attached at pelvic brim,D,Suppos pelvic viscera,A,Levator ani muscle is attached at pelvic brim,context helped reject a wrong option,"1;12;13","The passages confirm pelvic-viscera support and give the actual attachments to pubis, obturator fascia/tendinous arch, and ischial spine, making pelvic-brim attachment the exception."
e9f104f9-2231-4a49-b5a6-983ca6e08c49,15,Dental,,A pier abutment is:,B,With an edentulous space on mesial and distal sides of the abutment,C,Edentulous space on one side of the abutment,B,With an edentulous space on mesial and distal sides of the abutment,correct despite weak retrieval,,"The retrieved passages are unrelated to prosthodontic pier abutments and do not describe adjacent edentulous spaces."
e0ec575f-4a30-4a42-a1c8-a0faed766b8b,15,Pathology,,"46.	A 9 year old child has increased Horizontal anterior bone loss, less cementum and on test shows excretion of phosphoethanolamine in the urine. The child is suffering from.",A,Hypophosphatasia,C,Juvenile periodontitis,A,Hypophosphatasia,useful supporting evidence,"7;12","The passages identify hereditary alkaline-phosphatase inactivation as hypophosphatasia and premature loss of deciduous teeth as a hallmark of childhood disease, supporting the diagnosis."
590217c3-2f56-4547-a6e3-e3d3409bc6e2,15,Medicine,,Cold agglutinin is,B,IgM,A,IgG,B,IgM,direct answer found,1,"Rank 1 explicitly states that the cold-agglutinin autoantibody is usually IgM."
2ab8b27b-1646-4886-8378-f2f11f84a79e,15,Forensic Medicine,,Which acid does not show coagulation necrosis on contact?,C,HF,D,HNO3,C,HF,correct despite weak retrieval,,"The passages discuss acid-base physiology and coagulation disorders, not tissue necrosis caused by hydrofluoric or other acids."
db180b6d-8b4e-487e-a47d-7c554c8dad2e,15,Dental,,Which of the following show chemical bond with enamel (calcified tissues)?,C,Polycarboxylate cements,D,BIS-GMA resins in pit and fissure sealants,C,Polycarboxylate cements,correct despite weak retrieval,,"The passages describe enamel and hydroxyapatite but do not discuss chemical bonding by zinc polycarboxylate cement."
f04e3d13-d50f-45d8-9fc2-82ef57da3aa9,15,Pharmacology,,Oral infection by penicillinase producing organisms should be treated with:,B,Dicloxacillin,A,Ampicillin,B,Dicloxacillin,direct answer found,1,"Rank 1 recommends oral dicloxacillin for suspected staphylococcal infection and discusses management when penicillinase-producing organisms are involved."
114fa1dd-9f36-4b84-9f6a-68303bc63931,15,Gynaecology & Obstetrics,,Earliest diagnosis of pregnancy can be established safely by:,A,USG for fetal cardiac activity,C,hCG levels,A,USG for fetal cardiac activity,ambiguous question / questionable gold label,1,"Rank 1 supports safe sonographic visualization of cardiac activity by about 6 weeks, but serum hCG detects pregnancy earlier; the wording says earliest diagnosis rather than earliest confirmation of a viable pregnancy."
f1f7b5b5-1446-4c3b-b863-6f933689cb95,15,Gynaecology & Obstetrics,,Which of the following increases callus formation:,B,Movement at fracture site,A,Rigid immobilization,B,Movement at fracture site,correct despite weak retrieval,,"The passages explain callus formation but do not state that micromotion increases it; rank 1 instead warns that inadequate immobilization can delay maturation or cause nonunion."
0a96136a-d645-4ad6-9f31-53192793e1d0,15,Medicine,,Renal osteodystrophy differs from nutritional and genetic form of osteomaLacia in having:,D,Hyperphosphatemia,C,Hypophosphatemia,D,Hyperphosphatemia,direct answer found,14,"Rank 14 explicitly states that chronic kidney disease retains phosphate, causing hyperphosphatemia in renal osteodystrophy."
21af7233-ae6a-423c-ae71-9148212a37c3,15,Physiology,,Calcium ions triggers muscle contraction by binding to:,C,Troponin,A,Actin,C,Troponin,direct answer found,1,"Rank 1 explains that calcium initiates skeletal-muscle contraction by binding the troponin complex associated with actin filaments."
e536d0d8-52e5-4881-b33e-23907a9a3034,15,Radiology,,The usual radiographic appearance of an osteosarcoma is:,C,Sunburst pattern with radiopaque strands extending from the cortical plates,A,Discrete radiolucency with regular borders,C,Sunburst pattern with radiopaque strands extending from the cortical plates,direct answer found,7,"Rank 7 explicitly identifies the sunburst pattern as a characteristic radiographic appearance of osteosarcoma."
07f7dc0f-6050-4d44-b532-71e4d2787bac,15,Surgery,,"Following bilateral mandibular fracture in the canine region, the following muscles will tend to pull the mandible back:",A,Genioglossus and anterior belly of digastric,D,Genioglossus and masseter,A,Genioglossus and anterior belly of digastric,multiple passages combined,"1;4;11","The passages locate genioglossus and anterior digastric attachments on the anterior mandible and describe the digastric's posterior pull; the masseter attaches to posterior fracture segments."
100d2a31-8f28-4500-99c9-67690fe15625,15,Pharmacology,,Ganglionic transmission is mediated by:,D,Postsynaptic nicotinic receptors,C,Postsynaptic dopaminergic receptors,D,Postsynaptic nicotinic receptors,direct answer found,8,"Rank 8 explicitly states that postganglionic autonomic cells are activated through neuronal nicotinic receptors."
2617e9f9-7ba9-4f7c-b182-f7dbff771148,15,Anatomy,,Lymph from tongue not drained by following vessels,B,Ventral,C,Posterior,B,Ventral,correct despite weak retrieval,,"The passages discuss tongue lymphatic drainage generally but do not identify ventral vessels as the exception among the listed vessel groups."
da27e783-4c0b-4621-bc3d-938a109d8425,15,Pharmacology,AIIMS 2018,Use of lithium during pregnancy increases the risk of development of which of the following malformations in the baby?,B,Cardiac defects,D,Urogenital defects,B,Cardiac defects,direct answer found,11,"Rank 11 explicitly associates lithium exposure in pregnancy with Ebstein anomaly, a congenital cardiac defect."
f361defb-1a36-496f-b195-9dcb6bb31ea5,15,Psychiatry,AIIMS 2018,An individual with a known psychiatric disorder or on treatment and is not a minor can chose to decide the care taker and the course of treatment according to mental health act. This is called:,A,Advance directive,B,Treatment directive,A,Advance directive,direct answer found,1,"Rank 1 explicitly describes an advance directive as specifying future treatment preferences and appointing a health-care proxy."
66b9ec80-bfe0-485a-89ae-42e666aab572,15,Dental,,Cumulative index is:,C,PMA (Massler and Schlour),D,Gingival index (Loe and Silness),C,PMA (Massler and Schlour),correct despite weak retrieval,,"None of the retrieved passages explains the PMA index or distinguishes it from the Gingival Index."
fffb00bf-d5e6-4975-9299-12beacacb8ad,15,Pediatrics,,"To establish the diagnosis of H-type trachea-esophageal fistula, which if the following is required?",B,Tracheo-bronchoscopy,D,Esophagoscopy,B,Tracheo-bronchoscopy,direct answer found,15,"Rank 15 states that the presence of a tracheoesophageal fistula is confirmed with bronchoscopy."
20445700-6fe0-4e44-b27c-561d580c5ea9,15,Biochemistry,,HCO3/H2CO3 is the best buffer because it is:,B,Its components can be increased or decreased in the body as needed,D,Combination of a weak acid and weak base,B,Its components can be increased or decreased in the body as needed,direct answer found,1,"Rank 1 explicitly distinguishes bicarbonate from other buffers because its components are regulated by the lungs and kidneys."
f23d2f9b-0dd0-49b4-88de-b7b8570ee171,15,Pathology,,Which of the following is associated with defective apoptosis and increased cell survival,B,Auto immune disorders,A,Neuro degenerative diseases,B,Auto immune disorders,direct answer found,1,"Rank 1 states that impaired Fas-mediated lymphocyte apoptosis causes lymphocyte survival and accumulation and can lead to autoimmune disease."
119b2538-3a82-4ed2-94bc-50e807b9545e,15,Dental,,Modulus of elasticity of which cement is best to support under complex amalgam restoration?,B,ZnPO4,D,Polycarboxylate,B,ZnPO4,correct despite weak retrieval,,"The retrieved passages concern orthopedic cement or tooth cementum and provide no evidence comparing dental luting cements or their elastic moduli."
b9430ce6-2167-41f1-86a6-5d8c3e143d86,15,Pathology,,Scaphocephaly is caused by premature fusion of:,B,Sagittal suture,C,Metopic suture,B,Sagittal suture,direct answer found,1,"Rank 1 explicitly states that sagittal-suture fusion produces the boat-shaped skull called scaphocephaly."
