question_id,k,subject,topic,question,gold_letter,gold_option,rag_letter,rag_option,failure_category,retrieval_contains_answer,misleading_document_rank,notes
88082d18-5e7b-4c2a-81fa-b91139c7276d,15,Dental,,Thickness of luting cement is:,A,20-40 μ,B,10-20 μ,irrelevant retrieval,no,,None of the 15 passages discusses dental luting cement or its film thickness. Ranks 1 and 2 describe natural tooth cementum rather than a luting material and the remaining numeric thickness passages concern unrelated tissues. No passage supports either numerical range.
8e686bff-ca17-4507-89bc-cce7d6ab9e7f,15,Microbiology,,"An elderly male patient presented with fever, chest pain, and dry coughp; sputum culture showed growth on Charcoal Yeast Extract Medium, the organism is",C,Legionella,A,H. influenza,model ignored useful context,yes,,Rank 5 explicitly names charcoal yeast extract agar as the special medium used to isolate Legionella species. This directly identifies C. No passage associates this medium with H. influenzae so the model ignored decisive retrieved evidence.
53208a86-eac2-46ae-8ae3-703e1afda738,15,Surgery,,First local anaesthesia to be used clinically was,A,Cocaine,D,Lignocaine,relevant but insufficient retrieval,no,,Several passages discuss local anesthesia and its history but none names cocaine as the first clinically used local anesthetic or compares the dates of the listed drugs. The mentions of lidocaine describe current use only. The retrieval is on topic but lacks the historical fact required to answer.
5963ab9b-34a2-4d45-acc6-d7688d671080,15,Pathology,,"A lady complains of headache, nausea and tenderness in temporal region with migraine. On microscopic investigation what will be seen",B,Giant cell arteritis,C,Granulomatous giant cell lesions,ambiguous question / questionable gold label,no,,Rank 6 gives clinical features compatible with temporal giant cell arteritis but none of the passages describes its microscopy. The stem asks what will be seen microscopically while gold option B names the disease. Option C describes a plausible microscopic finding in giant cell arteritis. Because B and C answer different interpretations of the stem the claimed corruption is questionable.
bd1f87b7-50d6-4060-a9a3-f281c15a1898,15,Dental,,Only tooth in which buccal surface is made of 2 lobes,A,Upper 1st molar,B,Lower 1st molar,relevant but insufficient retrieval,no,,The passages discuss teeth buccal surfaces and general molar morphology but none states how many developmental lobes form the buccal surface of any listed molar. Rank 4 only says molars have three to five cusps. The retrieval is broadly dental but cannot distinguish the upper first molar from the lower first molar.
6dfdea6c-4c96-49dc-8b65-a57b59d87036,15,Dental,,"Which of the following cry is characterized by loud, high pitched and siren-like wail:",A,Obstinate cry.,C,Hurt cry.,context supports wrong option,no,1,Rank 1 says that pain cries are remarkably loud and have a higher frequency than hunger cries. This closely matches the words loud and high pitched and therefore supports the selected hurt cry. None of the 15 passages describes an obstinate cry or the dental behavior-management classification used by the gold answer.
635aedc6-993c-483d-a192-04e327b6a438,15,Surgery,,Syncope is usually caused by:,B,Cerebral ischemia,A,Vasoconstriction,model ignored useful context,yes,,Rank 3 defines syncope as loss of consciousness caused by acute global impairment of cerebral blood flow. Rank 8 likewise says all major forms ultimately reduce blood flow to the brain. This supports cerebral ischemia or hypoperfusion. Rank 9 instead describes failure of compensatory vasoconstriction so the retrieved context does not support A.
28e47981-c859-48ad-a4b9-14a13c5b3a34,15,Pharmacology,AIIMS 2019,Which of the following is clinical use of tafenoquine?,A,Radical cure of Plasmodium vivax,B,Prophylaxis of malaria in pregnancy,context supports wrong option,no,1,Rank 1 says that tafenoquine has causal prophylactic activity and is used for malaria prophylaxis. This overlaps strongly with B but omits the crucial pregnancy restriction. None of the 15 passages states its use as a single-dose radical cure for relapsing P. vivax. The incomplete passage therefore points toward the wrong option.
1730e3d6-7a73-4485-bc27-65e8ad61c9bb,15,Radiology,,Intensifying screen is used in extraoral radiograph to:,A,Decrease radiation to patient,B,Increase contrast,relevant but insufficient retrieval,no,,The passages discuss radiographs and rank 5 states the general principle of keeping patient radiation dose as low as possible. However none explains what an intensifying screen does or states that it reduces the required exposure. There is also no evidence that its purpose is to increase contrast.
418ea8f5-7225-4daa-9fa7-2cf9724b9a8b,15,Dental,,A patient reported with Disto-oclusal amalgam restoration in 47 & complaints of sticking of food in interproximal area. Most common reason is?,D,Contact area too gingivally,C,Contact area too occlusively,relevant but insufficient retrieval,no,,Ranks 1 3 and 5 discuss amalgam restorations and problems near interproximal restorations. However none explains how the occlusogingival position of the contact area causes food impaction. The passages cannot distinguish a contact placed too gingivally from one placed too occlusally.
678018c2-3154-4411-937e-0e5d4116739f,15,Biochemistry,,Which of the following does not or permissive euchromatin due to changes occurring at cytosine residues at CpG islands in DNA?,A,Methylation,B,Alkylation,model ignored useful context,yes,,Ranks 2 4 and 13 explicitly describe methylation of cytosine residues in CpG islands and its association with inactive chromatin or reduced transcription. Alkylation is not supported anywhere in the retrieved passages. Despite the garbled wording of the stem the context directly identifies A.
7845514d-6bb2-460f-a203-351dffc13abf,15,Dental,,Most prominent lingual fossa in Incisors is seen in,A,Upper Lateral incisor,B,Lower Lateral Incisor,irrelevant retrieval,no,,None of the 15 passages compares the lingual fossae of incisors. The retriever mostly matched the separate words lingual and fossa and returned passages about the tongue cranial fossae and other anatomical spaces. Rank 8 mentions an incisive fossa behind the incisors but not the tooth-surface feature asked about.
cb6588a7-e4ef-4670-b6aa-7eae297fb443,15,Gynaecology & Obstetrics,,Exact number of weeks between last menstrual period and expected date of delivery :March 2005,C,40 weeks,B,39 weeks,model ignored useful context,yes,,Ranks 9 and 12 explicitly state that pregnancy from the first day of the last menstrual period lasts approximately 280 days or 40 weeks. Ranks 1 and 3 also provide Naegele's rule consistent with that interval. The model selected 39 weeks despite direct evidence for C.
2a9cc59f-8f5f-4035-8010-07d1cc7a2f64,15,Pediatrics,,"In SCHWARTZ formula for calculation of creatinine clearance in a child, the constant depends on the following except –",D,Severity of renal failure,B,Method of estimation of creatinine,model ignored useful context,yes,,Ranks 1 2 and 8 connect pediatric creatinine estimates with height age and muscle mass. Rank 3 explicitly explains that the method used to measure plasma creatinine changes the estimate. These passages support B as a real dependency and leave severity of renal failure as the exception. The model selected B despite that evidence.
10bd1123-5a30-4895-b50c-4d176aa3a858,15,Anatomy,,Primary cartilaginous joint is called as:,B,Synchondrosis.,D,Synarthroses.,context supports wrong option,yes,12,Rank 12 says solid joints are also called synarthroses and then identifies cartilaginous synarthroses as synchondroses. Thus it contains the precise answer B but also presents D as the broader parent class in the same passage. That wording can pull the model toward the less specific option D even though synchondrosis is the requested name.
1d9fbbc4-e25e-4dc3-bbd5-d0eefd02bd2b,15,Anatomy,,Epidural venous plexus is located in,D,In vertebral canal above duramater,C,In vertebral canal below duramater,model ignored useful context,yes,,Rank 6 places the internal vertebral venous plexus in the extradural or epidural space of the vertebral canal. Rank 9 also states that the epidural space contains this plexus and distinguishes it from spinal injection that punctures the dura. This supports the location outside or above the dura rather than below it.
1470a21a-b226-4cd1-904d-85cd841d5afa,15,Dental,,True about bicuspidization:,A,Separation of mandibular molar mesial and distal roots with their respective crown portions,C,Separation or removal of half root without their respective crown portion in mandibular molar,irrelevant retrieval,no,,None of the 15 passages discusses dental bicuspidization hemisection or mandibular molar roots. The retriever matched unrelated terms such as bicuspid heart valves separation and bilayers. No passage provides evidence for any of the procedural definitions.
5c578aa4-a6fd-4de5-b0f6-adb926564122,15,Forensic Medicine,,Embalming without issuing death ceificate is punishable under section:,A,IPC 201,B,IPC 297,irrelevant retrieval,no,,None of the 15 passages discusses embalming or any section of the Indian Penal Code. Rank 2 only mentions the ordinary completion of a death certificate under local rules. The retrieved material cannot distinguish IPC 201 from IPC 297.
c48cca4e-55ef-4a73-b07d-6ac3a3c5c1eb,15,Dental,,"A patient shows one or more of the following: advanced bone loss, grade II and III furcation involvements, tooth mobility, inaccessible areas, systemic/environmental factors represents:",A,Questionable prognosis,B,Poor prognosis,relevant but insufficient retrieval,no,,Rank 5 mentions alveolar bone loss in periodontal disease but none of the 15 passages gives the periodontal prognosis criteria. There is no comparison of questionable versus poor prognosis and no discussion of furcation grade mobility or inaccessible areas. The retrieval is only loosely on topic.
4127528f-2cc3-44bc-b07e-446577f5018c,15,Pharmacology,,What is the dose of adrenaline in anaphylactic shock?,A,0.5 ml in 1:1000,B,0.5 ml in 1:10000,model ignored useful context,yes,,Ranks 1 2 and 4 explicitly give 0.3 to 0.5 mL of 1:1000 epinephrine for anaphylaxis. They distinguish this from diluted 1:10000 intravenous epinephrine used in profound shock under different dosing. The evidence directly supports A but the model selected B.
a13b245e-56b4-43cd-84fe-1c83ac2badeb,15,Gynaecology & Obstetrics,,All of the following are true about augmentation of labor except:,A,Twin pregnancy precludes the use of oxytocin,C,Methods of augmentation does not increase the risk of operational management,relevant but insufficient retrieval,no,,The passages thoroughly discuss augmentation with oxytocin and amniotomy. Rank 8 reports no increase in cesarean delivery after amniotomy and therefore gives some support to C rather than showing it is the exception. However none of the 15 passages addresses oxytocin use in twin pregnancy so the key fact needed to select A is absent.
a022212e-e91a-4bb5-b6ff-b1fb57ff48e0,15,Medicine,AIIMS 2018,A medical student presented to the ED with protracted vomiting. For this he was given and anti-emetic drug following which he developed abnormal posturing. Which of the following is the most likely drug to be given to the patient?,A,Metoclopramdie,B,Ondansetron,relevant but insufficient retrieval,no,,Several passages concern antiemetic treatment and adverse drug reactions but none names metoclopramide ondansetron domperidone or dexamethasone in this setting. No passage links dopamine blockade to acute dystonia or abnormal posturing. The retrieval is related to the clinical theme but lacks the discriminating adverse effect.
97194c13-bb56-4e06-ac35-79f69cb41bb3,15,Pathology,AIIMS 2018,"Storage temperature of RBC, Platelet, and Fresh Frozen Plasma (FFP) are:",A,"RBC 2-6oC, Platelet 20-22oC, FFP-30oC",C,"RBC 20-22oC, Platelet 2-6oC, FFP-30oC",model ignored useful context,yes,,Rank 11 states that red cells are stored cold at about 1 to 6 degrees C while platelets are stored at room temperature. Rank 4 also states that platelets are stored at room temperature and rank 1 states that FFP is frozen below zero. These passages support the arrangement in A and contradict the swapped RBC and platelet temperatures in C.
9a21d76c-9104-4bd2-be55-a37c3b71c0f5,15,Radiology,,Which type of radiation effect results in radiation induced thyroid cancer?,A,Somatic,B,Genetic,context supports wrong option,no,1 and 2,Ranks 1 and 2 emphasize that radiation-induced thyroid cancer arises through genetic rearrangements mutations and DNA damage. This supports the word genetic in a mechanistic sense and can pull the model toward B. None of the passages explains that a cancer occurring in the exposed person is classified as a delayed somatic effect while genetic effects refer to descendants.
376472be-1031-446f-abbd-f35a14669d7f,15,Dental,,"8 year-old child had fractured his maxillary central incisor
10-months ago. The pulp shows no response. There is no periapical lesion in the radiograph. The treatment of choice is:",D,Complete debridement and apexification,C,Conventional root canal treatment,relevant but insufficient retrieval,no,,Rank 1 discusses traumatic pulp necrosis and the need to remove necrotic material. Rank 12 states that a permanent central incisor erupts at age 7 to 8 which suggests an immature root in this child. However none of the 15 passages explains apexification or contrasts it with conventional root canal treatment in an immature nonvital tooth.
80d140b3-ecea-49ed-a805-775b3f067383,15,Surgery,,"In BSSO setback, fixation in neutral posterior zone is best achieved with:",A,Lag screw,B,Position screw,irrelevant retrieval,no,,None of the 15 passages discusses bilateral sagittal split osteotomy mandibular setback or fixation with lag position screws or miniplates. Most passages concern unrelated posterior repairs or cardiac septal defects. No retrieved evidence can distinguish A from B.
772be35c-73b9-43c4-8fc6-9ee4efb8dd27,15,Pediatrics,,A 10 year old boy presents with midline swelling arising from cerebellum the diagnosis is –,D,Medulloblastoma,A,Astrocytoma,relevant but insufficient retrieval,no,,The passages discuss midline cerebellar anatomy and several cerebellar lesions. Rank 5 mentions tumors near the fourth ventricle and rank 12 mentions cerebellar tumors generally. However none names medulloblastoma or astrocytoma or explains their typical midline versus hemispheric location in children. The retrieval cannot distinguish D from A.
f447d416-8b56-4a22-a6bc-9b3467fc4b1d,15,Dental,,Suture technique is called as:,C,Figure eight suture.,A,Simple loop suture.,ambiguous question / questionable gold label,no,,The question contains no description or image of the suture pattern so the listed technique cannot be identified from the stem. Rank 5 happens to mention a figure-of-eight suture in an unrelated cardiac procedure but does not describe the missing dental pattern. The available item is incomplete and the claimed corruption cannot be judged reliably from its text.
810e4333-a984-4b47-821a-d6dddd1615d7,15,Pediatrics,,All of following are recognized manifestation of acute Rheumatic fever except –a) Abdominal painb)  Epistaxisc)  Choread)  Subcutaneous nodules,D,ab,C,ad,model ignored useful context,yes,,Ranks 2 5 8 and 14 explicitly identify both Sydenham chorea and subcutaneous nodules as recognized major manifestations of acute rheumatic fever. Therefore c and d should not be in the exception pair. The passages support D by elimination but the model selected C which incorrectly excludes subcutaneous nodules.
e584f190-0cb1-4ef7-9e2a-e4f0ccc8e01b,15,ENT,AIIMS 2018,Cranial nerve that is not involved in olfaction:-,C,Hypoglossal,D,Trigeminal,model ignored useful context,yes,,Rank 12 places a trigeminal V1 branch in the nasal cavity alongside the olfactory pathway which argues against selecting trigeminal as uninvolved. Rank 9 states that the hypoglossal nerve supplies the muscles of the tongue and describes only motor effects. Together these passages support C by elimination but the model selected D.
1a9cdc6b-3c9c-44a2-95d1-68461bf113fc,15,Physiology,,A politician is shot in the back during a rally at level of T8 veebral immediately after the shot he loses all the sensation below level of lesion. Chance of regeneration of spinal cord due to the fact that injured nerve is not able to regenerate is due to reason all except:,D,Lack of myelin inhibiting substance,C,Presence of glial scar,relevant but insufficient retrieval,no,,The passages establish that spinal cord damage has poor regenerative recovery and rank 6 mentions experimental growth factors and neural sheath grafts. However none explains the normal inhibitory role of CNS myelin or identifies glial scar and absent endoneurial tubes as barriers. The key reversal in option D cannot be resolved from the retrieved text.
7ee6d817-eee3-42ad-8d49-7237f375f6f3,15,Biochemistry,AIIMS 2018,Biomarker of alcoholic hepatitis:,D,GGT,B,AST,ambiguous question / questionable gold label,no,,Rank 1 explicitly lists elevated AST as a typical laboratory finding in alcoholic hepatitis while none of the 15 passages mentions GGT. The dataset explanation instead describes GGT as a marker of alcohol use or alcoholism which is not identical to a marker of alcoholic hepatitis. Because the stem uses alcoholic hepatitis the RAG answer B is medically plausible and the gold label is questionable.
98035f50-53b3-47c8-b340-392237162fb2,15,Dental,,Condensation reaction occurs in,C,Polysulfide,B,Alginate,irrelevant retrieval,no,,All 15 passages discuss condensation reactions in cellular biochemistry or general polymer synthesis. None concerns dental impression materials or the setting reactions of agar alginate polysulfide or zinc oxide eugenol. The retrieval provides no evidence for C or B.
